Percentage,Wilayah,H. SAHBIRIN NOOR - H MUHIDIN,Prof H Denny Indrayana - Drs H DIFRIADI
100.00%,TANAH LAUT,47148,60398
100.00%,KOTABARU,64026,81502
98.66%,BANJAR,169165,102218
100.00%,BARITO KUALA,66708,41283
100.00%,TAPIN,46237,34079
100.00%,HULU SUNGAI SELATAN,37175,49624
100.00%,HULU SUNGAI TENGAH,55094,71700
100.00%,HULU SUNGAI UTARA,38488,48439
100.00%,TABALONG,38951,49794
100.00%,TANAH BUMBU,88053,87068
100.00%,BALANGAN,35593,33658
98.42%,KOTA BANJARMASIN,112422,116067
100.00%,KOTA BANJARBARU,47433,61498
